casualty_imd_quintile,driver_imd_quintile,crash_quintile,ranked_dist,demog_dist,crash_count,ranked_occurrences,crash_count_dist,crash_prop_dist
4 less deprived,1 most deprived,5 least deprived,8,5.0990195135927845,99,4,1260,0.025768979057591623
4 less deprived,2 more deprived,1 most deprived,5,3.7416573867739413,162,4,4354,0.0890461387434555
4 less deprived,2 more deprived,2 more deprived,4,2.8284271247461903,330,3,6916,0.14144306282722513
4 less deprived,2 more deprived,3 mid deprived,3,2.449489742783178,298,6,5503,0.11254499345549739
4 less deprived,2 more deprived,4 less deprived,4,2.8284271247461903,406,3,6916,0.14144306282722513
4 less deprived,2 more deprived,5 least deprived,5,3.7416573867739413,128,4,4354,0.0890461387434555
4 less deprived,3 mid deprived,1 most deprived,5,3.7416573867739413,125,4,4354,0.0890461387434555
4 less deprived,3 mid deprived,2 more deprived,3,2.449489742783178,204,4,5503,0.11254499345549739
4 less deprived,3 mid deprived,3 mid deprived,2,1.4142135623730951,390,6,16365,0.3346899541884817
4 less deprived,3 mid deprived,4 less deprived,2,1.4142135623730951,477,6,16365,0.3346899541884817
4 less deprived,3 mid deprived,5 least deprived,3,2.449489742783178,214,2,5503,0.11254499345549739
4 less deprived,4 less deprived,1 most deprived,6,4.242640687119285,114,3,3182,0.06507689790575916
4 less deprived,4 less deprived,2 more deprived,4,2.8284271247461903,237,3,6916,0.14144306282722513
4 less deprived,4 less deprived,3 mid deprived,2,1.4142135623730951,417,6,16365,0.3346899541884817
4 less deprived,4 less deprived,4 less deprived,1,0,938,1,9847,0.2013866164921466
4 less deprived,4 less deprived,5 least deprived,2,1.4142135623730951,317,3,16365,0.3346899541884817
4 less deprived,5 least deprived,1 most deprived,8,5.0990195135927845,66,4,1260,0.025768979057591623
4 less deprived,5 least deprived,2 more deprived,5,3.7416573867739413,122,6,4354,0.0890461387434555
4 less deprived,5 least deprived,3 mid deprived,3,2.449489742783178,241,6,5503,0.11254499345549739
4 less deprived,5 least deprived,4 less deprived,2,1.4142135623730951,439,6,16365,0.3346899541884817
4 less deprived,5 least deprived,5 least deprived,2,1.4142135623730951,354,3,16365,0.3346899541884817
5 least deprived,1 most deprived,1 most deprived,9,5.656854249492381,159,3,934,0.019101767015706806
5 least deprived,1 most deprived,2 more deprived,8,5.0990195135927845,129,2,1260,0.025768979057591623
5 least deprived,1 most deprived,3 mid deprived,7,4.898979485566356,129,2,535,0.010941590314136126
5 least deprived,1 most deprived,4 less deprived,8,5.0990195135927845,126,2,1260,0.025768979057591623
5 least deprived,1 most deprived,5 least deprived,9,5.656854249492381,118,3,934,0.019101767015706806
5 least deprived,2 more deprived,1 most deprived,8,5.0990195135927845,116,4,1260,0.025768979057591623
5 least deprived,2 more deprived,2 more deprived,6,4.242640687119285,196,3,3182,0.06507689790575916
5 least deprived,2 more deprived,3 mid deprived,5,3.7416573867739413,178,4,4354,0.0890461387434555
5 least deprived,2 more deprived,4 less deprived,5,3.7416573867739413,169,6,4354,0.0890461387434555
